SnomedCT_ConceptID,description,condition
414087000,Emergency COPD admission since last appointment,gp_copd
46802002,Smokers' cough,gp_copd
63480004,Chronic bronchitis,gp_copd
649131000000101,Simple chronic bronchitis,gp_copd
68328006,Centrilobular emphysema,gp_copd
302331000000106,RCP asthma assessment,gp_asthma
170612008,Increasing exercise wheeze,gp_asthma
400987003,Asthma trigger,gp_asthma
195977004,Mixed asthma,gp_asthma
56968009,Wood asthma,gp_asthma
394967008,Suspected asthma,gp_asthma
